avg_speed,total_distance,jitter,click_frequency,scroll_speed,scroll_depth,scroll_pauses,typing_speed,dwell_time,flight_time,error_rate,dwell_time_on_page,idle_time,time_between_actions,session_duration,tab_switching_frequency,label
41.25344164,598.0448889,11.03167555,4.804355909,40.92436343,999.0980005,3.337532456,48.52574709,464.1485098,0.228395201,0.06301883,128.2437682,11.21131151,6.522852154,897.4499441,0.897873459,1
32.03111587,526.9785143,4.655417367,4.443684728,59.92402034,1098.337544,2.395372636,43.46467688,269.1829545,0.215994014,0.055228614,258.838318,7.091989195,1.47098178,930.5332323,2.142214511,1
9.095884758,550.9736855,6.592014141,0.649031075,68.94923103,781.73829,3.152814454,36.75854757,255.1895724,0.153104221,0.05610613,171.5272112,7.498972059,1.104938971,942.87035,1.740984799,1
33.99534179,618.4724458,6.306573267,9.414624907,47.00640594,1167.956822,4.000861253,26.5996548,195.7867875,0.188931659,0.042781024,226.3867689,4.806434084,7.852526842,1313.887448,2.069423276,1
31.93003037,529.4598654,11.75433704,6.708057589,49.52759485,893.5285919,1.728798618,39.68539834,243.1623378,0.11919653,0.055816234,136.3653701,8.050589483,6.585814896,963.838019,2.43416344,1
41.42858134,462.4016895,21.86563968,5.042262165,64.52636697,1310.313758,3.118042474,33.30328276,406.8053276,0.341133866,0.045512765,321.3772181,5.822837573,5.673392255,617.7976443,3.878003602,1
35.51118541,546.8812055,10.2216263,3.169167244,67.23115543,1077.628973,2.451937442,45.63991164,381.5481088,0.165145877,0.038050712,142.3152618,12.38979536,5.578673347,1032.790011,1.820963197,1
37.26905653,449.5170968,6.185896507,4.646846043,45.69841929,1304.058397,2.881797947,39.59709086,327.3575909,0.213025973,0.052271019,165.4900297,12.18436159,4.780698353,994.0414461,0.95880471,1
40.26497974,307.6681053,11.07633461,5.818184175,49.11635369,896.3344146,3.910459454,38.98320009,380.9055534,0.160937347,0.068016449,234.790861,15.18641724,5.688532482,975.7150035,2.454528244,1
34.62063829,389.5078277,12.85627844,3.509943773,54.03474304,918.7372274,2.191704349,38.56123632,115.1274166,0.26720504,0.060078763,107.7471432,5.998323059,9.103924778,1045.106491,2.647567771,1
